State,Total households,Has one or more types of computing devices,Has one or more Desktop or laptop,Desktop or laptop with no other type of computing device,Has one or more Smartphone,Smartphone with no other type of computing device,Has one or more Tablet or other portable wireless computer,Tablet or other portable wireless computer with no other type of computing device,Has one or more types of computing devices: Other computer,Other computer with no other type of computing device,No computer,With an Internet subscription,Dial-up with no other type of Internet subscription,Broadband of any type,Broadband: Cellular data plan,Cellular data plan with no other type of Internet subscription,"Broadband: Cable, fiber optic or DSL",Broadband: Satellite Internet service,Without an Internet subscription,"Household Income Less than $20,000:","Household Income Less than $20,000: With dial-up Internet subscription alone","Household Income Less than $20,000: With a broadband Internet subscription","Household Income Less than $20,000: Without an Internet subscription","Household Income Between $20,000 and $74,999:","Household Income Between $20,000 and $74,999: With dial-up Internet subscription alone","Household Income Between $20,000 and $74,999: With a broadband Internet subscription","Household Income Between $20,000 and $74,999: Without an Internet subscription","Household Income $75,000 or more:","Household Income $75,000 or more: With dial-up Internet subscription alone","Household Income $75,000 or more: With a broadband Internet subscription","Household Income $75,000 or more: Without an Internet subscription",Has one or more types of computing devices (Percent),Has one or more Desktop or laptop (Percent),Desktop or laptop with no other type of computing device (Percent),Has one or more Smartphone (Percent),Smartphone with no other type of computing device (Percent),Has one or more Tablet or other portable wireless computer (Percent),Tablet or other portable wireless computer with no other type of computing device (Percent),Has one or more types of computing devices: Other computer (Percent),Other computer with no other type of computing device (Percent),No computer (Percent),With an Internet subscription (Percent),Dial-up with no other type of Internet subscription (Percent),Broadband of any type (Percent),Broadband: Cellular data plan (Percent),Broadband: Cellular data plan with no other type of Internet subscription (Percent),"Broadband: Cable, fiber optic or DSL (Percent)",Broadband: Satellite Internet service (Percent),Without an Internet subscription (Percent),"Household Income Less than $20,000: With dial-up Internet subscription alone (Percent)","Household Income Less than $20,000: With a broadband Internet subscription (Percent)","Household Income Less than $20,000: Without an Internet subscription (Percent)","Household Income Between $20,000 and $74,999: With dial-up Internet subscription alone (Percent)","Household Income Between $20,000 and $74,999: With a broadband Internet subscription (Percent)","Household Income Between $20,000 and $74,999: Without an Internet subscription (Percent)","Household Income $75,000 or more: With dial-up Internet subscription alone (Percent)","Household Income $75,000 or more: With a broadband Internet subscription (Percent)","Household Income $75,000 or more: Without an Internet subscription (Percent)"
GA,4092467,3935473,3312930,80801,3790652,403804,2673474,24256,93596,1094,156994,3734559,3253,3731306,3519943,417344,3137631,313716,357908,515186,1337,389252,124597,1588477,1495,1416164,170818,1988804,421,1925890,62493,96.2,81,2,92.6,9.9,65.3,0.6,2.3,0,3.8,91.3,0.1,91.2,86,10.2,76.7,7.7,8.7,0.3,75.6,24.2,0.1,89.2,10.8,0,96.8,3.1
HI,494827,475859,405159,13502,454254,42389,334465,3941,12641,55,18968,451878,132,451746,423956,51363,388767,23187,42949,50326,79,37904,12343,155117,12,137946,17159,289384,41,275896,13447,96.2,81.9,2.7,91.8,8.6,67.6,0.8,2.6,0,3.8,91.3,0,91.3,85.7,10.4,78.6,4.7,8.7,0.2,75.3,24.5,0,88.9,11.1,0,95.3,4.6
ID,717151,694118,608345,20436,660365,52866,462646,4433,16414,453,23033,661102,717,660385,618008,78145,526337,75679,56049,73913,38,56005,17870,297975,589,269911,27475,345263,90,334469,10704,96.8,84.8,2.8,92.1,7.4,64.5,0.6,2.3,0.1,3.2,92.2,0.1,92.1,86.2,10.9,73.4,10.6,7.8,0.1,75.8,24.2,0.2,90.6,9.2,0,96.9,3.1
IL,5056360,4826535,4066170,125090,4604795,478585,3235722,39959,146633,1339,229825,4592631,5925,4586706,4308651,601672,3789434,350420,463729,629349,1111,475664,152574,1843967,2726,1618336,222905,2583044,2088,2492706,88250,95.5,80.4,2.5,91.1,9.5,64,0.8,2.9,0,4.5,90.8,0.1,90.7,85.2,11.9,74.9,6.9,9.2,0.2,75.6,24.2,0.1,87.8,12.1,0.1,96.5,3.4
IN,2726489,2588666,2102463,70042,2462814,298658,1655066,24148,51534,1004,137823,2459551,3635,2455916,2298774,373154,1951983,185136,266938,345570,577,260638,84355,1162575,2170,1026537,133868,1218344,888,1168741,48715,94.9,77.1,2.6,90.3,11,60.7,0.9,1.9,0,5.1,90.2,0.1,90.1,84.3,13.7,71.6,6.8,9.8,0.2,75.4,24.4,0.2,88.3,11.5,0.1,95.9,4
IA,1330995,1268258,1046849,38156,1201187,140590,808182,11537,24768,397,62737,1195995,3555,1192440,1118475,158917,962595,102331,135000,152268,606,109068,42594,559581,2278,489369,67934,619146,671,594003,24472,95.3,78.7,2.9,90.2,10.6,60.7,0.9,1.9,0,4.7,89.9,0.3,89.6,84,11.9,72.3,7.7,10.1,0.4,71.6,28,0.4,87.5,12.1,0.1,95.9,4
KS,1175294,1130089,941760,35435,1072314,121975,725336,7532,24413,101,45205,1068917,1909,1067008,992943,136800,875033,81321,106377,145366,279,108161,36926,489022,1256,436706,51060,540906,374,522141,18391,96.2,80.1,3,91.2,10.4,61.7,0.6,2.1,0,3.8,90.9,0.2,90.8,84.5,11.6,74.5,6.9,9.1,0.2,74.4,25.4,0.3,89.3,10.4,0.1,96.5,3.4
KY,1828680,1718061,1340659,48562,1627087,232578,1105824,18192,37145,273,110619,1631160,2646,1628514,1522057,233253,1312740,122938,197520,306342,524,223140,82678,796687,1732,706394,88561,725651,390,698980,26281,94,73.3,2.7,89,12.7,60.5,1,2,0,6,89.2,0.1,89.1,83.2,12.8,71.8,6.7,10.8,0.2,72.8,27,0.2,88.7,11.1,0.1,96.3,3.6
LA,1816902,1696769,1278766,38690,1623451,284204,1028290,15012,52827,249,120133,1553415,2115,1551300,1469474,274259,1191652,140048,263487,340715,478,227998,112239,783232,907,662305,120020,692955,730,660997,31228,93.4,70.4,2.1,89.4,15.6,56.6,0.8,2.9,0,6.6,85.5,0.1,85.4,80.9,15.1,65.6,7.7,14.5,0.1,66.9,32.9,0.1,84.6,15.3,0.1,95.4,4.5
ME,605338,576162,491784,24177,530591,44926,380449,8005,9986,129,29176,551000,2058,548942,500017,56731,463448,34430,54338,73725,230,54685,18810,249285,1212,220640,27433,282328,616,273617,8095,95.2,81.2,4,87.7,7.4,62.8,1.3,1.6,0,4.8,91,0.3,90.7,82.6,9.4,76.6,5.7,9,0.3,74.2,25.5,0.5,88.5,11,0.2,96.9,2.9
MD,2375984,2297417,2019547,60816,2187744,166181,1636487,17710,71861,844,78567,2196718,2045,2194673,2055740,226569,1905988,105802,179266,232333,122,174423,57788,711428,1083,631958,78387,1432223,840,1388292,43091,96.7,85,2.6,92.1,7,68.9,0.7,3,0,3.3,92.5,0.1,92.4,86.5,9.5,80.2,4.5,7.5,0.1,75.1,24.9,0.2,88.8,11,0.1,96.9,3
MA,2797776,2682268,2338281,85286,2534795,195516,1859843,25505,59835,818,115508,2601334,2843,2598491,2431572,261234,2295043,89830,196442,326171,601,248587,76983,820219,1434,738851,79934,1651386,808,1611053,39525,95.9,83.6,3,90.6,7,66.5,0.9,2.1,0,4.1,93,0.1,92.9,86.9,9.3,82,3.2,7,0.2,76.2,23.6,0.2,90.1,9.7,0,97.6,2.4
MI,4089794,3904756,3218832,115059,3697881,425031,2539577,38679,76853,1171,185038,3709260,6880,3702380,3456962,518687,2998518,261483,380534,538178,1325,413763,123090,1708170,3742,1507701,196727,1843446,1813,1780916,60717,95.5,78.7,2.8,90.4,10.4,62.1,0.9,1.9,0,4.5,90.7,0.2,90.5,84.5,12.7,73.3,6.4,9.3,0.2,76.9,22.9,0.2,88.3,11.5,0.1,96.6,3.3
MN,2322190,2230871,1934539,62710,2119151,172024,1517274,19111,47390,387,91319,2141642,4569,2137073,2011146,247031,1796466,146097,180548,231463,1186,174902,55375,824830,2273,733692,88865,1265897,1110,1228479,36308,96.1,83.3,2.7,91.3,7.4,65.3,0.8,2,0,3.9,92.2,0.2,92,86.6,10.6,77.4,6.3,7.8,0.5,75.6,23.9,0.3,89,10.8,0.1,97,2.9
MS,1148340,1071874,775233,24793,1023782,212361,610652,10143,23495,116,76466,969008,1332,967676,900910,187149,708486,124789,179332,225241,306,151375,73560,521128,884,437575,82669,401971,142,378726,23103,93.3,67.5,2.2,89.2,18.5,53.2,0.9,2,0,6.7,84.4,0.1,84.3,78.5,16.3,61.7,10.9,15.6,0.1,67.2,32.7,0.2,84,15.9,0,94.2,5.7
MO,2521832,2397438,1951285,74257,2272015,291040,1522186,17975,56553,1471,124394,2261029,4589,2256440,2120141,327800,1784647,204954,260803,349749,1085,255162,93502,1075465,2477,945811,127177,1096618,1027,1055467,40124,95.1,77.4,2.9,90.1,11.5,60.4,0.7,2.2,0.1,4.9,89.7,0.2,89.5,84.1,13,70.8,8.1,10.3,0.3,73,26.7,0.2,87.9,11.8,0.1,96.2,3.7
